id,name,equipment_type,manufacturer,safety_surface_type,ada_accessible,street_number,street,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
761840480,Dunseith Playground,Play Area 2 to 12,Playworld,SofSurfaces,f,274,Dunseith St,West Oakland,6,4,42003040200,3,4,4,2-10,40.4426223,-79.96488142
1236745223,West End Playground,Swing 2 Bays,Playworld,SofSurfaces,t,,West End Park Dr,Elliott,2,20,42003562600,5,20,6,1-17,40.43773653,-80.03724892
1165544030,Ammon Playground,Play Area 2 to 5,Park Structures,Tiles,f,2217,Bedford Ave,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44907155,-79.97805653
2133321350,West End Playground,Play Area 2 to 12,Playworld,Pour in Place,f,,West End Park Dr,Elliott,2,20,42003562600,5,20,6,1-17,40.43757092,-80.03763784
1178754234,Brighton Heights Playground,Swing 3 Bays,Little Tykes,Pour in Place,t,1144,W Point Ave,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48659743,-80.0318333
1927765426,Brighton Heights Playground,Play Area 5 to 12,Little Tykes,Pour in Place,f,,Weitz Way,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48666605,-80.03189913
2068967362,Brighton Heights Playground,Play Area 2 to 5,Little Tykes,Pour in Place,f,,Weitz Way,Brighton Heights,1,27,42003270800,1,27,1,1-14,40.48676063,-80.03191376
1580680377,Bud Hammer Playground,Play Area 5 to 12,Little Tykes,Pour in Place,f,114,Bigelow St,Hazelwood,5,15,42003562900,3,15,4,2-12,40.42179474,-79.94727507
1033425332,Bud Hammer Playground,Play Area 2 to 5,Little Tykes,Pour in Place,f,132,Bigelow St,Hazelwood,5,15,42003562900,3,15,4,2-12,40.4216005,-79.94698808
1420904227,Bud Hammer Playground,Swing 3 Bays,Little Tykes,Pour in Place,f,122,Bigelow St,Hazelwood,5,15,42003562900,3,15,4,2-12,40.4215104,-79.94723484
2049027929,Burgwin Playground,Swing 2 Bays,Playworld,SofSurfaces,t,602,Johnston Ave,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40472977,-79.93662076
249692608,Burgwin Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,606,Johnston Ave,Hazelwood,5,15,42003562300,3,15,4,2-13,40.4049644,-79.93643032
1431648344,Burgwin Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,608,Johnston Ave,Hazelwood,5,15,42003562300,3,15,4,2-13,40.40487428,-79.93642374
1708924085,Ammon Playground,Play Area 5 to 12,Playworld,Tiles,f,2217,Bedford Ave,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44904659,-79.97811651
705169870,Catalono Playground,Swing 2 Bays,Playworld,SofSurfaces,t,1130,Spring Garden Ave,Spring Garden,1,24,42003241200,1,24,1,1-5,40.46024471,-79.99209565
1289088838,Catalono Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,,Arcola Way,Spring Garden,1,24,42003241200,1,24,1,1-5,40.46020957,-79.99195618
1544576950,Catalono Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,,Arcola Way,Spring Garden,1,24,42003241200,1,24,1,1-5,40.4602643,-79.99196715
752023885,Dallas Playground,Swing 3 Bays,Playworld,SofSurfaces,t,707,PA-380,Homewood West,9,12,42003120700,2,12,5,3-17,40.45779582,-79.90456854
1473184891,Dallas Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,,PA-380,Homewood West,9,12,42003120700,2,12,5,3-17,40.45780262,-79.90429935
498775181,Dallas Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,,PA-380,Homewood West,9,12,42003120700,2,12,5,3-17,40.45789624,-79.90435567
1258920569,Dallas Playground,Whirl,Gametime,SofSurfaces,f,,PA-380,Homewood West,9,12,42003120700,2,12,5,3-17,40.45780902,-79.90439426
244228477,Denny Playground,Play Area 2 to 5,Little Tykes,Pour in Place,f,2901,Liberty Ave,Strip District,7,6,42003020300,6,6,2,3-2,40.45771879,-79.97340645
1805277464,Dinan Playground,Swing 3 Bays,Playworld,SofSurfaces,t,4746,Farmington Rd,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48411186,-79.93305644
1731484502,Dinan Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,4742,Farmington Rd,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48423797,-79.93307595
561097535,Arlington Playground,Swing 3 Bays,Playworld,Pour in Place,t,1505,Fernleaf St,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41819885,-79.97556793
1559081386,Dinan Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,1503,Windcrest Dr,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48419974,-79.93294184
1185311965,East Carnegie Playground,Swing 2 Bays,Little Tykes,SofSurfaces,t,,Doolittle St,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41467179,-80.07494517
358317983,East Carnegie Playground,Play Area 5 to 12,Little Tykes,SofSurfaces,f,722,Doolittle St,East Carnegie,2,28,42003562800,5,28,6,1-19,40.41460495,-80.07507197
987724718,Eleanor St. Playground,Swing 2 Bays,Playworld,Greenpark Breakfall,t,2317,Primrose St,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42134169,-79.9727053
1412828232,Eleanor St. Playground,Play Area 2 to 5,Playworld,Greenpark Breakfall,f,2314,Sierra St,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42152837,-79.97301912
911263581,Eleanor St. Playground,Play Area 5 to 12,Playworld,Greenpark Breakfall,f,,Eleanor St,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.4215066,-79.97278845
918867210,Mt. Washington Playground,Swing 2 Bays,Little Tykes,Pour in Place,t,531,Norton St,Mount Washington,2,19,42003191400,5,19,3,4-27,40.4245355,-80.01346138
482595045,Mt. Washington Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,726,Kuhn St,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42471288,-80.0132468
605577287,Mt. Washington Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,726,Kuhn St,Mount Washington,2,19,42003191400,5,19,3,4-27,40.42461165,-80.01323607
879959210,Ream Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,345,Virginia Ave,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43139203,-80.01324449
727829424,Arlington Playground,Play Area 2 to 5,Playworld,Pour in Place,f,1509,Fernleaf St,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41808693,-79.97564858
1410457966,Ream Playground,Swing 2 Bays,Playworld,SofSurfaces,t,345,Virginia Ave,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43125653,-80.01323474
1390820849,Ream Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,345,Virginia Ave,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43128393,-80.01340302
920373706,Fifty-Seventh St Playground,Swing 2 Bays,Playworld,Pour in Place,f,33,57th St,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48598024,-79.94674546
321690169,Fifty-Seventh St Playground,Play Area 5 to 12,Playworld,Pour in Place,f,29,57th St,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48605813,-79.9467796
1754507195,Frazier Playground,Play Area 5 to 12,Playworld,SofSurfaces,f,3724,Frazier St,South Oakland,3,4,42003040900,3,4,4,2-11,40.42918471,-79.95403022
1150828691,Frazier Playground,Swing 2 Bays,Playworld,SofSurfaces,t,3724,Frazier St,South Oakland,3,4,42003040900,3,4,4,2-11,40.42927751,-79.95394
1402822218,Heth's Playground,Swing 3 Bays,Little Tykes,SofSurfaces,t,5423,Hampton St,Morningside,7,10,42003101400,2,10,5,3-7,40.47681856,-79.92824468
1686395783,Heth's Playground,Play Area 2 to 5,Little Tykes,SofSurfaces,f,5421,Hampton St,Morningside,7,10,42003101400,2,10,5,3-7,40.47699291,-79.92820566
1547793551,Farmhouse Playground,Swing 2 Bays,Playworld,Pour in Place,t,22,Farmhouse Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.47613935,-79.91344169
1245787448,Farmhouse Playground,Play Area 5 to 12,Playworld,Pour in Place,f,25,Farmhouse Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.47623907,-79.91363805
1066827082,Arlington Playground,Play Area 5 to 12,Playworld,Pour in Place,f,,Esop Way,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.4180396,-79.9755219
21193752,Farmhouse Playground,Play Area 2 to 5,Playworld,Pour in Place,f,18,Farmhouse Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.47598693,-79.91344761
1817195553,Pool Grove Playground,Play Area 5 to 12,Landscape Structures,Pour in Place,f,,Lake Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.48276713,-79.91031688
1606944973,Pool Grove Playground,Swing 2 Bays,Landscape Structures,Pour in Place,t,,Lake Dr,Highland Park,7,11,42003980100,2,11,5,3-9,40.48262376,-79.91025771
